of_list;of_round_list;rr_round_list;of_val_list;of_round_val_list;RMSE_val_list;RMSE_round_val_list;Var10
363.7815746;341.5294126;52396;255.1577757;247.5365679;22.59016493;22.25023901;15719
341.5294126;NaN;0;247.5365679;NaN;22.25023901;NaN;15719
356.4212851;12653.76441;5;254.5295997;12566.3882;22.56234029;158.5332028;15719
353.4729458;25471.3757;7;253.7242092;25264.10461;22.52661578;224.7848065;15719
352.2338364;25253.88505;8;252.6555567;25063.63492;22.47912617;223.8912009;15719
351.4706399;27062.94493;12;252.228407;26933.7549;22.46011607;232.0937522;15719
347.2855941;29620.286;15;251.6667302;29547.89952;22.43509439;243.0962753;15719
345.2167606;28372.53798;18;250.1095782;28297.91753;22.36557972;237.8987917;15719
344.5401815;22314.96402;20;250.2460248;22212.58512;22.37167964;210.7727929;15719
342.9237738;16028.68771;22;249.8446922;15913.80552;22.35373312;178.4029457;15719
339.9402784;15903.33599;23;249.0266939;15792.2479;22.31710976;177.720274;15719
339.6584788;50194.33099;24;249.0645726;50133.44773;22.31880699;316.6494836;15719
339.0001089;48520.0889;26;248.5888146;48394.73274;22.29748033;311.1100536;15719
337.13183;46794.81068;28;248.1803052;46706.29159;22.27915192;305.6347218;15719
336.7603091;36682.21108;30;248.2415561;36646.99234;22.281901;270.7286182;15719
335.1082021;23575.85988;33;247.2827452;23558.86157;22.23882844;217.0661723;15719
335.0839383;26493.36085;31;247.1538737;26473.65473;22.2330328;230.1028237;15719
334.0365583;26282.03383;32;247.0822627;26270.69917;22.22981164;229.2191055;15719
332.6967481;26235.12321;33;246.8002617;26220.22706;22.2171223;228.9988081;15719
330.2700605;26133.37442;34;246.6418875;26131.81868;22.20999268;228.6124173;15719
328.7088287;3430.184637;115;246.150137;3457.258811;22.18784068;83.15357853;15719
335.3098819;353.8303417;52397;245.6280052;248.4411844;22.16429585;22.29085842;15719
346.3720277;353.8303417;52397;246.6397925;248.4411844;22.20989836;22.29085842;15719
