of_list;of_pen_list;rr_round_list;of_val_list;RMSE_val_list;Var7
365.8183669;365.8183674;3;263.2487022;22.94553125;5239
362.3560402;362.3560407;8;264.5541273;23.00235324;5239
355.7182499;355.7182503;14;257.3579393;22.68735063;5239
349.1771318;349.1771323;17;254.6316497;22.56686286;5239
347.0317044;347.0317049;21;255.0760348;22.58654621;5239
341.607089;341.6070895;23;255.0188854;22.58401582;5239
337.6304824;337.6304829;23;252.1927784;22.45852971;5239
336.6150674;336.6150678;25;252.6404895;22.47845589;5239
333.3141599;333.3141604;25;253.6036736;22.52126433;5239
331.8966707;331.8966712;28;253.1088992;22.4992844;5239
328.8868182;328.8868186;28;250.2118972;22.3701541;5239
328.0869962;328.0869967;28;250.0079544;22.3610355;5239
327.674409;327.6744095;29;249.8380897;22.35343775;5239
326.8660793;326.8660797;29;249.3028339;22.32947979;5239
326.3568008;326.3568013;30;249.4344437;22.33537301;5239
322.4333401;322.4333406;30;250.6900699;22.39151937;5239
322.2056558;322.2056563;30;250.2463441;22.3716939;5239
321.8910821;321.8910826;32;249.9055714;22.3564564;5239
320.1264926;320.1264931;32;243.9926855;22.09039092;5239
320.032268;320.0322685;32;244.002224;22.09082271;5239
319.7091631;319.7091636;32;243.9088092;22.08659364;5239
319.6244863;319.6244867;32;243.9772855;22.08969377;5239
319.3203288;319.3203295;41;243.8111434;22.08217124;5239
324.9074257;324.9074261;32;241.4877713;21.97670454;5239
319.5577839;319.5577849;58;245.4275221;22.15524868;5239
333.0173589;333.0173593;32;242.1646074;22.00748088;5239
320.2535741;320.2535746;32;246.5526551;22.20597465;5239
320.0692602;320.0692606;32;246.7660854;22.21558396;5239
319.7695009;319.7695013;32;246.1189306;22.18643417;5239
319.659127;319.6591274;32;245.8537192;22.17447719;5239
319.3609157;319.3609161;32;245.3072567;22.14981971;5239
319.0186965;319.018697;33;244.4301364;22.11018482;5239
318.5270048;318.5270053;33;242.2405807;22.01093277;5239
317.8169591;317.8169596;33;241.7894622;21.99042802;5239
317.637052;317.6370524;33;241.4671222;21.97576493;5239
317.4543304;317.4543309;33;241.4239953;21.97380237;5239
317.3372316;317.3372321;34;241.0567294;21.9570822;5239
314.7743011;314.7743016;34;243.9615347;22.08898072;5239
314.6324757;314.6324762;34;243.3835638;22.06279963;5239
314.422396;314.4223964;34;242.3402447;22.01546024;5239
314.23935;314.2393505;34;241.7768187;21.98985306;5239
314.1105311;314.1105315;34;241.2473408;21.96576158;5239
313.8006469;313.8006474;34;238.9612613;21.86143917;5239
313.7219342;313.7219347;34;238.6336791;21.84644956;5239
313.5636503;313.5636507;34;237.9394085;21.81464685;5239
313.4946403;313.4946408;34;237.7669728;21.80674083;5239
313.2285757;313.2285762;34;236.8287996;21.76367614;5239
313.1283893;313.1283898;34;236.390558;21.74353044;5239
313.0738275;313.073828;43;236.156262;21.73275233;5239
314.9899373;314.9899378;34;234.8661699;21.67330939;5239
313.0566838;313.0566843;34;235.5722859;21.70586492;5239
313.0316252;313.0316256;35;235.5500887;21.70484226;5239
312.9314846;312.931485;35;235.4781366;21.70152698;5239
312.7397062;312.7397067;35;234.8320289;21.67173408;5239
312.5121437;312.5121442;35;234.2281959;21.64385344;5239
312.3088054;312.3088058;35;233.3887277;21.6050331;5239
312.2256546;312.2256551;35;233.1646187;21.59465761;5239
312.1035219;312.1035223;35;232.8359105;21.5794305;5239
312.0693122;312.0693127;35;232.7751422;21.5766143;5239
311.7685637;311.7685642;35;231.541303;21.51935422;5239
311.7398129;311.7398133;35;231.4376373;21.51453636;5239
311.6174901;311.6174906;35;231.0137463;21.49482478;5239
310.2674632;310.2674636;37;231.0308793;21.49562185;5239
309.855338;309.8553385;37;229.4107535;21.42011921;5239
308.8557487;308.8557492;37;229.7590917;21.43637524;5239
308.7940333;308.7940338;37;229.648964;21.4312372;5239
308.6414659;308.6414663;37;229.0804204;21.40469203;5239
308.5586927;308.5586932;37;228.6534556;21.38473547;5239
308.4993506;308.499351;37;228.388791;21.37235556;5239
308.2980238;308.2980243;37;227.2179207;21.31750082;5239
308.2611984;308.2611988;37;227.0176508;21.30810413;5239
308.2308661;308.2308665;37;226.8890388;21.30206745;5239
308.1537539;308.1537543;37;226.6229215;21.28957123;5239
308.0647045;308.064705;37;226.3693636;21.27765793;5239
308.0160038;308.0160042;37;226.3049419;21.27463005;5239
307.9564534;307.9564538;37;226.2319473;21.27119871;5239
307.8421384;307.8421389;37;226.2001059;21.26970173;5239
307.8067988;307.8067992;37;226.1206134;21.26596405;5239
307.7662233;307.7662238;37;226.1181414;21.26584781;5239
307.7010057;307.7010062;37;226.038668;21.26211034;5239
307.5836018;307.5836027;67;224.9265973;21.20974292;5239
