of_list;of_pen_list;rr_round_list;of_val_list;RMSE_val_list;MAPE_val_list;Var7
363.781574645963;363.781575746263;0;255.157775729346;22.5901649276558;Inf;15719
362.652212181694;362.652213281898;3;254.754569365076;22.5723091138269;Inf;15719
352.355877789964;352.355878890076;8;253.073963693501;22.4977316053642;Inf;15719
350.07897555774;350.078976657827;9;252.871884614916;22.4887476136363;Inf;15719
349.596759465759;349.596760565731;13;252.141334463699;22.4562389755586;Inf;15719
346.849257574829;346.849258674758;15;252.748729035899;22.4832706266637;Inf;15719
346.043419118608;346.043420218502;15;252.534579091807;22.4737437509556;Inf;15719
344.655161373345;344.655162473214;16;252.122016265402;22.4553786993407;Inf;15719
343.972203421693;343.97220452151;18;251.817903220907;22.4418316195852;Inf;15719
342.673364070647;342.673365170432;19;250.870692085455;22.3995844642464;Inf;15719
342.138429023021;342.138430122742;20;250.53001279868;22.3843701183964;Inf;15719
341.401521625053;341.401522724701;22;250.227257625056;22.3708407363271;Inf;15719
339.441506409973;339.441507509594;22;248.431081860263;22.2904051941755;Inf;15719
338.496335812224;338.496336911766;23;248.106336759141;22.2758316010488;Inf;15719
336.960552151182;336.96055325067;25;245.607418667594;22.1633670125996;Inf;15719
336.050081149737;336.050082249214;25;243.738168753221;22.0788663093566;Inf;15719
335.849122084363;335.849123183799;26;243.768421014916;22.0802364577427;Inf;15719
334.268665805734;334.268667114508;401;243.456213695307;22.0660922546475;Inf;15719
342.116364161163;342.116364161163;52397;244.943877577881;22.1334081233723;Inf;15719
353.830341699715;353.830341699715;52397;248.441184447209;22.2908584153778;Inf;15719
353.830341699715;353.830342800027;0;248.441184447209;22.2908584153778;Inf;15719
361.501832773743;361.501833874009;3;254.545235267575;22.5630332742553;Inf;15719
360.662676494116;360.662677594313;6;254.336476029909;22.5537791081632;Inf;15719
357.737130560008;357.737131660158;8;252.149430273769;22.4565994876237;Inf;15719
356.875822869731;356.875823969842;8;251.782647781406;22.4402605948062;Inf;15719
355.64222172682;355.642222826892;9;251.630315630947;22.4334712263148;Inf;15719
354.685172467162;354.685173567157;10;251.514971114438;22.4283290110716;Inf;15719
353.384567055425;353.384568155352;12;249.855757180899;22.3542281092817;Inf;15719
351.854301249929;351.85430234979;16;246.488630778397;22.2030912612815;Inf;15719
350.958212240076;350.958213339901;16;246.273336365025;22.1933925466579;Inf;15719
343.907092929216;343.90709402901;18;245.718119985532;22.1683612378332;Inf;15719
343.293706358857;343.293707458606;18;245.711292570312;22.1680532555438;Inf;15719
342.373342713537;342.373343813243;18;245.586529751444;22.1624244951424;Inf;15719
341.013653737603;341.013654837283;19;245.425770096853;22.155169604264;Inf;15719
340.538281148835;340.538282248456;21;245.290908278998;22.1490816188391;Inf;15719
339.88310897943;339.883110078985;22;245.101579775499;22.140532052121;Inf;15719
337.9006697413;337.900670840822;23;244.745196921455;22.124429797012;Inf;15719
337.057108758008;337.057109857498;24;244.08522913645;22.0945798392479;Inf;15719
335.907372299169;335.907373398593;24;243.830563468017;22.0830506709565;Inf;15719
334.408141013875;334.408142113275;25;243.68766964899;22.0765789763265;Inf;15719
334.006895682087;334.006896781458;25;243.567052879756;22.0711147375821;Inf;15719
333.340865694247;333.340866793528;27;243.514544530572;22.0687355564641;Inf;15719
328.32526428261;328.325265381829;28;243.124408199855;22.0510502334857;Inf;15719
327.433649814304;327.4336511021;141;242.923854758798;22.0419533961397;Inf;15719
334.09670087845;334.096701977666;29;243.498229918657;22.0679962805261;Inf;15719
325.151528279397;325.151529378572;31;242.31811694799;22.0144551124024;Inf;15719
324.009050701971;324.009051801102;31;241.335768449892;21.9697869106595;Inf;15719
322.952278623383;322.952279722506;31;241.163786277537;21.9619573935265;Inf;15719
322.867398387904;322.867399487004;31;241.13752517232;21.960761606662;Inf;15719
322.275803814514;322.275804913535;33;241.180403121506;21.9627139999366;Inf;15719
316.982494085756;316.982495184747;33;240.912098805627;21.9504942452614;Inf;15719
316.310325294236;316.310326577573;138;240.558096881609;21.9343610292896;Inf;15719
322.501593728624;322.501594608644;52356;240.432435113322;21.9286312894044;Inf;15719
336.021139999718;336.021139999718;52397;243.47140029348;22.0667804762489;Inf;15719
353.830341699715;353.830341699715;52397;248.441184447209;22.2908584153778;Inf;15719
353.830341699715;353.830341699715;52397;248.441184447209;22.2908584153778;Inf;15719
353.830341699715;353.830341699715;52397;248.441184447209;22.2908584153778;Inf;15719
353.830341699715;353.830341699715;52397;248.441184447209;22.2908584153778;Inf;15719
353.830341699715;353.830341699715;52397;248.441184447209;22.2908584153778;Inf;15719
353.830341699715;353.830341699715;52397;248.441184447209;22.2908584153778;Inf;15719
353.830341699715;353.830342800028;0;248.441184447209;22.2908584153778;Inf;15719
361.730580140116;361.730581240247;7;254.684981021257;22.5692259956453;Inf;15719
357.486897601759;357.486898701824;9;250.289754371595;22.3736342319077;Inf;15719
355.893130530795;355.893131684616;13;249.981618264101;22.3598577036662;Inf;15719
355.822497193205;355.822498293195;13;249.789927718882;22.3512830825831;Inf;15719
354.227918350585;354.227919450541;13;249.137191892014;22.3220604735322;Inf;15719
344.992428192243;344.992429292137;17;248.062960592462;22.2738842859732;Inf;15719
343.345676551486;343.345677651338;18;247.429239667995;22.2454147935252;Inf;15719
341.379861629827;341.379862729591;22;246.997689876314;22.2260068332714;Inf;15719
330.231828606723;330.231829706453;22;246.609757161581;22.2085459749881;Inf;15719
329.38625853755;329.386259637262;23;246.410943515959;22.1995920465201;Inf;15719
329.050787223186;329.050788322879;23;246.187207525755;22.1895113747804;Inf;15719
328.715202641159;328.715203740796;26;246.250017926931;22.1923418289702;Inf;15719
327.567313741444;327.567314841078;26;245.627276934218;22.1642629895161;Inf;15719
327.50711758085;327.507118888525;52256;245.505032300029;22.1587469095176;Inf;15719
