of_list;of_round_list;rr_round_list;of_val_list;of_round_val_list;RMSE_val_list;RMSE_round_val_list;MAPE_val_list;MAPE_round_val_list;Var10
51.2934990889093;NaN;0;52.2959174062851;NaN;10.2270149512245;NaN;0.380438835845415;NaN;46371
51.2891137202598;229.928510555878;1;52.2931959196225;229.952507569288;10.2267488401371;21.4453961292063;0.380430365681742;0.998948692128507;46371
51.2857864192886;229.928510555878;1;52.2914049167822;229.952507569288;10.2265737093889;21.4453961292063;0.380425641638602;0.998948692128507;46371
51.2799211058021;229.928510555878;1;52.2879156239428;229.952507569288;10.2262325050766;21.4453961292063;0.380406204078151;0.998948692128507;46371
51.2759033725853;229.928510555878;1;52.2861950333896;229.952507569288;10.2260642510586;21.4453961292063;0.38039169668363;0.998948692128507;46371
51.2723783004381;120.959748309912;2;52.2847185384927;121.760676582795;10.2259198645885;15.6051707188864;0.380390632091975;0.708256897041207;46371
51.2669926410701;120.959748309912;2;52.28224648008;121.760676582795;10.2256781173749;15.6051707188864;0.380377869478476;0.708256897041207;46371
51.2638753945736;455.603913491806;4;52.2805538404457;455.405111130271;10.2255125876844;30.1796325733191;0.380376815267622;1.42371215520058;46371
51.2589341696114;425.231312044648;5;52.2777908750664;426.504939374832;10.2252423809968;29.206332853504;0.380376260920962;1.3709307200411;46371
51.2546031642911;476.796060048797;6;52.275898073467;477.96183618838;10.2250572686384;30.9180153369643;0.3803632398181;1.45483672013977;46371
51.2496320038738;476.796060048797;6;52.273093457583;477.96183618838;10.2247829764336;30.9180153369643;0.380357459204659;1.45483672013977;46371
51.2462682931913;476.796060048797;6;52.2711841846118;477.96183618838;10.2245962448022;30.9180153369643;0.380356603449725;1.45483672013977;46371
51.2417180025627;459.295195317829;9;52.268968109699;462.169604942472;10.2243795029037;30.4029473881225;0.380354871254096;1.42075004268063;46371
51.2370299805669;563.495103175469;10;52.2663665249846;567.180032572344;10.2241250505835;33.6802622487517;0.380342480811529;1.57997176968297;46371
51.2322654549937;563.495103175469;10;52.2647978523753;567.180032572344;10.2239716208893;33.6802622487517;0.380337144912717;1.57997176968297;46371
51.2284408020727;465.277208080924;13;52.2636111035417;468.077296709448;10.2238555451006;30.5966434992287;0.380325282250453;1.42364046497398;46371
51.2203229190446;470.89215728919;16;52.2585098777567;473.598404749253;10.2233565796911;30.7765626654197;0.380314642589246;1.43587441916417;46371
51.2158550934231;467.810586175249;17;52.2559824006568;470.374680837232;10.2231093509418;30.671637740337;0.380310871223253;1.43187650860373;46371
51.2122431936831;442.240967515096;18;52.2543901930734;443.717556425393;10.2229536038342;29.7898491579059;0.380303864848746;1.39587343792413;46371
51.2063115698806;448.419533938007;19;52.2508729080194;449.891623372302;10.2226095404275;29.9963872282081;0.380294105495346;1.4059945706983;46371
51.202649258315;462.707095685605;20;52.2485016255765;464.199930159845;10.2223775733023;30.4696547456595;0.380298953668753;1.42941963819874;46371
51.1989815089307;462.707095685605;20;52.2469412008249;464.199930159845;10.2222249242349;30.4696547456595;0.380286442924332;1.42941963819874;46371
51.1951031670876;470.748828989768;21;52.2452246966769;472.250548343114;10.2220570040161;30.7327365635771;0.380276523243436;1.44264585716976;46371
51.1911334284837;470.748828989768;21;52.2438491314737;472.250548343114;10.2219224347941;30.7327365635771;0.380282169629787;1.44264585716976;46371
51.1880498372447;466.871013078971;22;52.242343804256;468.32279844738;10.2217751691432;30.6046662601434;0.380280144520903;1.43669612809652;46371
51.1834001012913;474.330255066822;23;52.2408544363022;475.682909989593;10.2216294626935;30.8442185827293;0.380281265858443;1.44905462786962;46371
51.1801650032733;474.330255066822;23;52.2382821047525;475.682909989593;10.2213778038729;30.8442185827293;0.380286476431633;1.44905462786962;46371
51.1766547155899;474.330255066822;23;52.2363870761608;475.682909989593;10.2211924036446;30.8442185827293;0.380281294404938;1.44905462786962;46371
51.1735607901936;476.979728664321;24;52.2347643186835;478.403588270551;10.2210336384031;30.9322998909086;0.380270704446225;1.45265269358936;46371
51.1694336826491;476.979728664321;24;52.2326458819585;478.403588270551;10.220826373827;30.9322998909086;0.380259261865524;1.45265269358936;46371
51.1662600525011;473.168758808552;25;52.231121035335;474.368102450375;10.2206771825878;30.8015617282752;0.380259683798932;1.44606429277761;46371
51.1609614090264;473.168758808552;25;52.2279923452315;474.368102450375;10.2203710642258;30.8015617282752;0.380233772795808;1.44606429277761;46371
51.1566944940282;443.119875549057;27;52.2255217317599;445.078244588634;10.2201293271426;29.8354904296421;0.38021280769024;1.39584638917969;46371
51.153458087271;449.919188002999;28;52.2243388755562;452.238580179142;10.2200135885972;30.0745267686506;0.380213816962623;1.40566526882846;46371
51.1496926649829;392.344881331399;29;52.2225523343773;394.159129545357;10.2198387790001;28.0770058783111;0.38020996965011;1.30948598684049;46371
51.1462631063896;392.344881331399;29;52.2210070326255;394.159129545357;10.2196875718023;28.0770058783111;0.380215474294233;1.30948598684049;46371
51.1429932313452;392.344881331399;29;52.2195450155879;394.159129545357;10.219544511923;28.0770058783111;0.380196950235741;1.30948598684049;46371
51.1403553088052;392.344881331399;29;52.2183631629337;394.159129545357;10.2194288649546;28.0770058783111;0.380194580590473;1.30948598684049;46371
51.1369410255471;428.456799435542;31;52.2167493105873;430.371041196363;10.2192709437207;29.3384062687926;0.380198272210865;1.37127819375533;46371
51.1320745344962;389.686448238913;33;52.2145771623254;391.190428038509;10.2190583873785;27.9710717720473;0.380198293209066;1.3053027813515;46371
51.1290277526279;392.48392720202;34;52.2131332638563;394.072457336758;10.218917091733;28.0739187623231;0.380194406174926;1.30991726859564;46371
